wavelength_um,n_real,k_imag
1.191,1.318162,1.181000e-05
1.199,1.318008,1.199000e-05
1.211,1.317799,1.191000e-05
1.219,1.317641,1.179000e-05
1.23,1.317427,1.160000e-05
1.239,1.317263,1.139000e-05
1.25,1.317042,1.100000e-05
1.259,1.316873,1.079000e-05
1.271,1.316645,1.090000e-05
1.279,1.316470,1.139000e-05
1.291,1.316233,1.221000e-05
1.3,1.316052,1.400000e-05
1.309,1.315868,1.639000e-05
1.321,1.315618,1.912000e-05
1.33,1.315425,2.251000e-05
1.34,1.315228,2.849000e-05
1.349,1.315031,4.047000e-05
1.361,1.314760,4.505000e-05
1.371,1.314547,5.804000e-05
1.38,1.314329,7.802000e-05
1.39,1.314104,1.060000e-04
1.4,1.313871,1.530000e-04
1.409,1.313671,2.540000e-04
1.419,1.313518,3.197000e-04
1.429,1.313373,3.538000e-04
1.439,1.313220,3.629000e-04
1.449,1.313055,3.637000e-04
1.459,1.312888,3.604000e-04
1.469,1.312715,3.387000e-04
1.479,1.312525,3.018000e-04
1.489,1.312318,2.659000e-04
1.5,1.312093,2.248000e-04
1.51,1.311852,1.958000e-04
1.521,1.311604,1.741000e-04
1.531,1.311352,1.602000e-04
1.542,1.311097,1.441000e-04
1.549,1.310923,1.348000e-04
1.56,1.310659,1.240000e-04
1.57,1.310387,1.140000e-04
1.581,1.310114,1.071000e-04
1.589,1.309928,9.940000e-05
1.6,1.309642,9.347000e-05
1.611,1.309352,8.804000e-05
1.622,1.309055,8.310000e-05
1.629,1.308855,8.096000e-05
1.641,1.308548,7.903000e-05
1.648,1.308341,7.591000e-05
1.66,1.308021,7.398000e-05
1.671,1.307672,7.404000e-05
1.679,1.307435,7.495000e-05
1.69,1.307073,7.601000e-05
1.698,1.306829,7.743000e-05
1.71,1.306453,8.050000e-05
1.722,1.306070,8.410000e-05
1.73,1.305809,8.900000e-05
1.742,1.305413,9.510000e-05
1.75,1.305142,1.000000e-04
1.762,1.304727,1.051000e-04
1.77,1.304442,1.120000e-04
1.778,1.304155,1.219000e-04
1.791,1.303718,1.330000e-04
1.799,1.303418,1.359000e-04
1.811,1.302947,1.371000e-04
1.82,1.302616,1.380000e-04
1.828,1.302269,1.418000e-04
1.841,1.301709,1.552000e-04
1.849,1.301291,1.861000e-04
1.862,1.300633,3.205000e-04
1.871,1.300214,5.209000e-04
1.879,1.299860,7.224000e-04
1.888,1.299545,9.221000e-04
1.901,1.298998,1.161000e-03
1.91,1.298791,1.678000e-03
1.919,1.298793,1.827000e-03
1.932,1.298681,1.922000e-03
1.941,1.298590,1.909000e-03
1.95,1.298472,1.848000e-03
1.959,1.298308,1.717000e-03
1.968,1.298051,1.548000e-03
1.982,1.297607,1.402000e-03
1.991,1.297292,1.250000e-03
2,1.296913,1.101000e-03
2.009,1.296499,9.904000e-04
2.018,1.296066,8.888000e-04
2.028,1.295606,8.050000e-04
2.042,1.294919,7.392000e-04
2.051,1.294457,6.742000e-04
2.061,1.293973,6.206000e-04
2.07,1.293476,5.725000e-04
2.08,1.292966,5.294000e-04
2.089,1.292438,4.884000e-04
2.099,1.291899,4.643000e-04
2.109,1.291353,4.403000e-04
2.118,1.290795,4.176000e-04
2.128,1.290221,3.970000e-04
2.138,1.289634,3.826000e-04
2.148,1.289033,3.705000e-04
2.158,1.288418,3.587000e-04
2.168,1.287787,3.506000e-04
2.178,1.287139,3.434000e-04
2.188,1.286474,3.395000e-04
2.198,1.285790,3.379000e-04
2.208,1.285087,3.387000e-04
2.218,1.284365,3.410000e-04
2.228,1.283619,3.458000e-04
2.239,1.282852,3.571000e-04
2.249,1.282064,3.739000e-04
2.259,1.281256,3.898000e-04
2.27,1.280421,4.081000e-04
2.28,1.279561,4.293000e-04
2.291,1.278675,4.506000e-04
2.301,1.277755,4.686000e-04
2.312,1.276797,4.918000e-04
2.317,1.276305,5.114000e-04
2.328,1.275295,5.430000e-04
2.339,1.274257,5.995000e-04
2.35,1.273184,6.365000e-04
2.36,1.272062,6.852000e-04
2.371,1.270902,7.427000e-04
2.382,1.269682,7.921000e-04
2.388,1.269059,8.488000e-04
2.399,1.267787,9.095000e-04
2.41,1.266450,9.904000e-04
2.421,1.265059,1.071000e-03
2.432,1.263577,1.150000e-03
2.438,1.262824,1.250000e-03
2.449,1.261297,1.348000e-03
2.46,1.259683,1.472000e-03
2.472,1.257969,1.580000e-03
2.477,1.257102,1.709000e-03
2.489,1.255347,1.810000e-03
2.5,1.253465,1.900000e-03
2.512,1.251445,1.953000e-03
2.518,1.250383,1.990000e-03
2.529,1.248127,2.017000e-03
2.541,1.245672,2.069000e-03
2.553,1.243014,2.142000e-03
2.564,1.240167,2.269000e-03
2.57,1.238670,2.311000e-03
2.576,1.237089,2.338000e-03
2.582,1.235426,2.387000e-03
2.588,1.233679,2.425000e-03
2.594,1.231834,2.476000e-03
2.606,1.227769,2.575000e-03
2.612,1.225483,2.703000e-03
2.618,1.223082,2.977000e-03
2.624,1.220535,3.302000e-03
2.63,1.218078,4.016000e-03
2.636,1.215699,4.363000e-03
2.649,1.209954,4.828000e-03
2.655,1.206519,5.368000e-03
2.661,1.202951,6.278000e-03
2.667,1.199289,7.325000e-03
2.673,1.195340,8.547000e-03
2.679,1.191390,1.049000e-02
2.685,1.188087,1.270000e-02
2.698,1.179962,1.451000e-02
2.704,1.174582,1.640000e-02
2.71,1.168874,1.861000e-02
2.716,1.160993,2.050000e-02
2.723,1.152876,2.817000e-02
2.729,1.149520,3.800000e-02
2.742,1.142068,4.622000e-02
2.748,1.136183,5.480000e-02
2.754,1.132860,6.483000e-02
2.761,1.131711,7.444000e-02
